"Name","State","Notes","User","Tags","Created","Runtime","Sweep","embed_dim","generate_graph","hidden_channels","model","num_layers","heads","best_val_loss","graph_generation","train_loss","trained_epochs","val_loss"
"worldly-sweep-476","finished","-","feik","","2023-09-03T09:50:26.000Z","4901","ca4ndneu","5","200","256","ResGnn","3","2","0.8181070467228946","max_dist","0.7399459499130129","52","0.8403053543313219"
"celestial-sweep-475","finished","-","feik","","2023-09-03T09:26:25.000Z","3285","ca4ndneu","5","200","256","ResGnn","2","2","0.816804476688973","max_dist","0.7516219600556461","51","0.8607389534886175"
"bright-sweep-474","finished","-","feik","","2023-09-03T09:05:10.000Z","2709","ca4ndneu","5","200","256","ResGnn","1","2","0.8184232910631203","max_dist","0.7614540837512888","100","0.8184643325127161"
"drawn-sweep-473","finished","-","feik","","2023-09-03T08:33:08.000Z","3189","ca4ndneu","5","200","128","ResGnn","3","2","0.8145156844802525","max_dist","0.7466090542194151","73","0.8373017819502608"
"daily-sweep-472","finished","-","feik","","2023-09-03T08:32:25.000Z","1957","ca4ndneu","5","200","128","ResGnn","2","2","0.8234683489139843","max_dist","0.757705384207249","62","0.8466237972847558"
"stellar-sweep-471","finished","-","feik","","2023-09-03T08:08:18.000Z","1483","ca4ndneu","5","200","128","ResGnn","1","2","0.802866376153094","max_dist","0.7792752591668461","99","0.8338613592117672"
"fanciful-sweep-470","finished","-","feik","","2023-09-03T07:54:13.000Z","2288","ca4ndneu","5","200","64","ResGnn","3","2","0.8189980163404593","max_dist","0.7601325745140646","105","0.8519880930896804"
"hardy-sweep-469","finished","-","feik","","2023-09-03T07:30:55.000Z","1389","ca4ndneu","5","200","64","ResGnn","2","2","0.809358187767828","max_dist","0.7780818293570467","85","0.8555545448785714"
"drawn-sweep-468","finished","-","feik","","2023-09-03T07:17:02.000Z","824","ca4ndneu","5","200","64","ResGnn","1","2","0.8161319500372815","max_dist","0.778907814391228","89","0.8469916900156044"
"morning-sweep-467","finished","-","feik","","2023-09-03T06:35:15.000Z","5574","ca4ndneu","5","200","512","ResGnn","3","1","0.8159170998414986","max_dist","0.7550988690422484","63","0.8494100358175195"
"vocal-sweep-466","finished","-","feik","","2023-09-03T06:06:57.000Z","4196","ca4ndneu","5","200","512","ResGnn","2","1","0.8190180947186919","max_dist","0.740289957916316","75","0.8685664698069274"
"dainty-sweep-465","finished","-","feik","","2023-09-03T05:40:57.000Z","3253","ca4ndneu","5","200","512","ResGnn","1","1","0.8041823580331011","max_dist","0.7692287966977803","126","0.8294546074546845"
"glorious-sweep-464","finished","-","feik","","2023-09-03T05:34:09.000Z","1959","ca4ndneu","5","200","256","ResGnn","3","1","0.839219866439759","max_dist","0.7897656294092998","33","0.8710763427108644"
"laced-sweep-463","finished","-","feik","","2023-09-03T05:16:05.000Z","1486","ca4ndneu","5","200","256","ResGnn","1","1","0.80780488799212","max_dist","0.7862791046147098","100","0.918566191714743"
