,station,t2m_mean,t2m_var,cape_mean,cape_var,sp_mean,sp_var,tcc_mean,tcc_var,u_pl850_mean,u_pl850_var,v_pl850_mean,v_pl850_var,q_pl850_mean,q_pl850_var,u_pl500_mean,u_pl500_var,v_pl500_mean,v_pl500_var,gh_pl500_mean,gh_pl500_var,sshf_mean,sshf_var,slhf_mean,slhf_var,u10_mean,u10_var,v10_mean,v10_var,ssr_mean,ssr_var,str_mean,str_var,d2m_mean,d2m_var,sm_mean,sm_var,lat,lon,alt,orog,doy
best_GlobalInfo_large,0.0,659581.25,-1337.479736328125,651.6605834960938,190.6500244140625,-49285.28125,1188.4959716796875,24197.140625,3128.877197265625,8557.044921875,6167.408203125,2338.32080078125,6965.1494140625,146819.59375,11133.5009765625,7416.759765625,-1956.97265625,207.0616455078125,-3114.7373046875,102833.5078125,-3345.510009765625,-19236.708984375,-4316.28271484375,22282.84375,5335.462890625,11640.052734375,-2149.2978515625,9071.1142578125,-3795.45361328125,209654.84375,5725.59423828125,68880.9375,-12636.0537109375,84740.84375,428.9397583007813,65314.9140625,-6477.4990234375,-72090.0859375,-58944.52734375,-65190.83984375,16625.982421875,-2213.364501953125
best_GraphSage_large,0.0,884300.6875,-2023.0791015625,-318.76983642578125,323.6138000488281,-48009.765625,112.14909362792967,57608.734375,-8998.203125,781.2453002929688,6843.07763671875,2504.60400390625,3944.894775390625,176367.96875,4320.2548828125,-1021.0645751953124,-1273.4908447265625,-254.4722442626953,-3040.691650390625,158866.53125,-2787.120849609375,-39417.54296875,-1946.4873046875,-101660.609375,1761.0206298828125,10416.9765625,-4695.45654296875,7946.89208984375,-6625.30517578125,264128.65625,5491.76171875,-111757.6171875,-9776.0986328125,132169.34375,-599.368408203125,81654.0859375,-7666.06298828125,-72871.3046875,-40734.16796875,-207178.0625,111923.0234375,-760.5536499023438
best_ResGnn_large,0.0,626355.6875,3003.413818359375,-168.9187469482422,120.07781219482422,-34619.125,-1939.120361328125,20262.109375,-4655.66796875,3659.0732421875,5163.37353515625,880.6221923828125,2802.541748046875,105291.46875,5481.2470703125,1355.382080078125,-1266.35400390625,357.95941162109375,-845.3590698242188,129448.21875,-2866.50537109375,-34833.3046875,-3793.2275390625,-97701.0625,39.96909713745117,6402.6875,-2279.34423828125,6009.7138671875,-4996.01123046875,188029.6875,1086.5216064453125,-49688.3828125,-6029.25,108361.796875,-427.7838134765625,70496.9140625,-4534.19384765625,-65900.8828125,-51053.1953125,-116910.765625,44153.98046875,-2415.9375
