,station,t2m_mean,t2m_var,cape_mean,cape_var,sp_mean,sp_var,tcc_mean,tcc_var,u_pl850_mean,u_pl850_var,v_pl850_mean,v_pl850_var,q_pl850_mean,q_pl850_var,u_pl500_mean,u_pl500_var,v_pl500_mean,v_pl500_var,gh_pl500_mean,gh_pl500_var,sshf_mean,sshf_var,slhf_mean,slhf_var,u10_mean,u10_var,v10_mean,v10_var,ssr_mean,ssr_var,str_mean,str_var,d2m_mean,d2m_var,sm_mean,sm_var,lat,lon,alt,orog,doy
best_ResGnn_large,0.3969877958297729,4.822091102600098,0.0020290613174438,0.0017696022987365,0.0003583431243896,0.0001519918441772,0.0011537075042724,0.0391165018081665,0.0055789947509765,0.0171855688095092,0.0014379024505615,0.0078012347221374,0.0012450218200683,0.0859180092811584,0.0027155876159667,0.0045111775398254,0.0005903244018554,0.0063409805297851,-7.855892181396484e-05,-8.463859558105469e-06,-0.001050055027008,0.0859706997871398,-0.0005928874015808,0.072562575340271,0.0009095668792724,0.021835446357727,-0.000754177570343,0.0193011164665222,-0.0010592341423034,0.3828474283218384,0.0038961172103881,0.0448585748672485,0.0005438923835754,0.0009254217147827,0.0006142258644104,-9.47713851928711e-06,0.0014066696166992,0.0002045035362243,0.0070989727973937,0.3816134929656982,0.0146460533142089,0.0997231006622314
best_GlobalInfo_small,0.3035597205162048,3.74469381570816,0.0051327347755432,0.0014827847480773,0.0001227259635925,-2.0205974578857425e-05,-0.0001063346862792,0.0401650667190551,0.0063545107841491,0.0103532671928405,-0.0005959868431091,0.006260871887207,0.0004109740257263,0.2211876511573791,0.0010637640953063,0.0011356472969055,0.0009874105453491,0.0113791823387146,0.000407338142395,0.0010031461715698,-0.0001550316810607,0.0690978169441223,-0.0018315911293029,0.0895201563835144,0.0047925114631652,0.0153112411499023,-0.0002743601799011,0.0020557641983032,-9.375810623168944e-05,0.3376416563987732,0.0045062899589538,0.0297664999961853,0.0002993941307067,0.0007455945014953,0.0016340613365173,0.0028265714645385,-0.0007479190826416,-7.474422454833984e-05,0.0008466839790344,0.0592387318611145,0.0014898180961608,0.0248458385467529
best_GlobalInfo_large,0.3172860741615295,4.1364763379096985,0.0017593502998352,0.001499056816101,1.1801719665527344e-05,0.0002697706222534,0.0017789006233215,0.0315688848495483,0.0069440007209777,0.0161079168319702,0.0013782382011413,0.0072275400161743,0.001558780670166,0.1191326379776001,0.0012619495391845,0.0042668581008911,0.0002859830856323,0.0074622631072998,0.0006003379821777,0.0004554986953735,-0.0010370016098022,0.0559237599372863,-0.001254916191101,0.064566433429718,0.0014370679855346,0.0361399054527282,-8.535385131835938e-05,0.0199651718139648,-0.0005024075508117,0.3658507466316223,0.0037963986396789,0.0336454510688781,0.0002701878547668,0.0005024671554565,0.0013092160224914,0.0016700029373168,0.0014090538024902,0.00021892786026,0.0038378834724426,0.0917130708694458,0.0110721588134765,0.0374011993408203
best_GraphSage_large,0.2516043782234192,4.370407402515411,0.0019024014472961426,0.0015645027160644531,0.00035834312438964844,0.00021958351135253906,0.0023393630981445312,0.03895014524459839,0.0056781768798828125,0.010617315769195557,0.002384364604949951,0.007714986801147461,0.001663804054260254,0.13449281454086304,0.00238955020904541,0.0026779770851135254,0.00045561790466308594,0.008561193943023682,0.0013086199760437012,0.0007746219635009766,-0.0005054473876953125,0.10964399576187134,-0.0006015300750732422,0.06819254159927368,0.0006372332572937012,0.020712554454803467,-0.0006545782089233398,0.01198267936706543,-0.0005089044570922852,0.45224684476852417,0.004389822483062744,0.04326283931732178,0.0014451146125793457,0.0007871389389038086,0.0014121532440185547,0.0030497312545776367,-0.0004125237464904785,0.0003508329391479492,0.003185093402862549,0.3939412236213684,0.10594677925109863,0.05797964334487915
