,station,t2m_mean,t2m_var,cape_mean,cape_var,sp_mean,sp_var,tcc_mean,tcc_var,u_pl850_mean,u_pl850_var,v_pl850_mean,v_pl850_var,q_pl850_mean,q_pl850_var,u_pl500_mean,u_pl500_var,v_pl500_mean,v_pl500_var,gh_pl500_mean,gh_pl500_var,sshf_mean,sshf_var,slhf_mean,slhf_var,u10_mean,u10_var,v10_mean,v10_var,ssr_mean,ssr_var,str_mean,str_var,d2m_mean,d2m_var,sm_mean,sm_var,lat,lon,alt,orog,doy
best_GlobalInfo_large,0.0,16199.267578125,6319.69580078125,-275.2623291015625,-14.17570686340332,7910.2216796875,-325.54083251953125,-7798.74755859375,4286.80078125,1831.6893310546875,-1246.4990234375,-382.4895324707031,-1935.6676025390625,-16372.2275390625,1272.098876953125,1295.282958984375,-1474.211181640625,-660.436279296875,-1999.091796875,23880.78515625,761.5816040039062,-953.8212890625,667.1654663085938,-23953.6484375,-1537.201904296875,-7707.09619140625,207.28396606445312,-2400.55224609375,1269.3138427734375,7578.9638671875,1373.5787353515625,28368.0234375,-269.0280456542969,3145.387451171875,-295.3215026855469,-11495.9462890625,-1588.7919921875,2395.886474609375,6256.79443359375,-573.590087890625,4508.8974609375,-4195.984375
best_GraphSage_large,0.0,12488.0830078125,10824.7216796875,-517.4255981445312,-47.68790817260742,16742.861328125,55.08131408691406,-14918.5517578125,8073.37109375,-1088.6796875,-2350.814453125,-590.7341918945312,-2380.028564453125,-24432.740234375,1509.3985595703125,1434.2744140625,-1641.9384765625,-212.06195068359372,-2005.10302734375,36359.68359375,714.0570678710938,-2070.12451171875,1610.4437255859375,-7300.130859375,-1648.191162109375,-7961.75732421875,857.5308837890625,-2930.966796875,1963.2281494140625,9783.3720703125,1160.2803955078125,22307.15234375,-244.3800201416016,9807.41796875,743.6511840820312,-24211.537109375,-2421.73681640625,13397.8818359375,11793.4208984375,-7691.40380859375,12080.8076171875,-778.7183837890625
best_ResGnn_large,0.0,9151.7275390625,7728.51171875,-321.36004638671875,20.897127151489258,13848.9462890625,-313.3638916015625,-12667.701171875,3961.804443359375,2150.116455078125,-2242.3701171875,-586.0126342773438,-1565.93017578125,-12429.3779296875,257.9235534667969,367.6739807128906,-1546.3734130859375,-780.2112426757812,-1452.9591064453125,30081.591796875,327.0322265625,-1667.7247314453125,1280.4349365234375,-11495.8212890625,-1660.0269775390625,-5888.0751953125,600.87939453125,-2911.652587890625,1077.0701904296875,5068.361328125,1072.763671875,27573.609375,-1772.7689208984375,5062.8759765625,504.4877014160156,-20550.625,-1517.52685546875,10400.287109375,11393.310546875,2142.5595703125,3814.299560546875,-2097.0390625
